model,all_rxns,flagged,dead-ends,dilution-blocked,duplicates,loops,redoxes
Enterococcus_faecium_E1590.mat,1092,595,320,214,25,50,6
Treponema_denticola_ATCC_33521.mat,1129,616,308,265,31,39,5
Cronobacter_sakazakii_E764.mat,2013,1121,756,250,76,99,8
Ureaplasma_urealyticum_serovar_4_str_ATCC_27816.mat,521,424,161,261,4,4,6
Escherichia_coli_KTE113.mat,3583,1217,722,292,99,188,8
Escherichia_coli_O111_H8_str_CVM9570.mat,3154,855,435,287,75,107,7
Staphylococcus_aureus_A5937.mat,1386,726,367,261,49,78,6
Streptococcus_pneumoniae_R6M2_PG.mat,1086,581,260,268,16,52,5
Campylobacter_coli_2685.mat,1420,938,503,342,57,88,7
Bifidobacterium_breve_NCFB_2258.mat,1034,526,250,226,27,42,5
Enterococcus_faecium_VRE_108.mat,1894,602,326,215,25,52,6
Lactobacillus_nov_ERR2221384.mat,1026,616,362,218,32,30,5
Enterococcus_faecalis_TR197.mat,1235,661,326,275,23,54,6
Enterococcus_faecalis_RM3817.mat,1259,676,331,274,25,63,6
Escherichia_coli_8_0416.mat,3605,1259,749,301,108,201,8
Escherichia_coli_DEC6C.mat,3572,1228,740,290,92,184,8
Staphylococcus_aureus_M0171.mat,1409,732,348,278,51,84,6
Bacillus_cereus_BAG6O_1.mat,2031,1244,754,312,80,172,8
Enterococcus_faecalis_Com7.mat,1241,666,321,275,27,60,6
Escherichia_coli_O104_H4_str_11_04080.mat,3625,1266,738,297,113,221,8
Dorea_nov_ERR2230118.mat,1025,669,396,233,27,38,5
Helicobacter_pylori_Hp_H_4.mat,1281,819,448,314,33,75,7
Enterococcus_faecalis_C19315WT.mat,2062,688,340,275,27,65,6
Enterococcus_faecalis_UAA903.mat,1244,675,335,279,25,51,6
Streptococcus_agalactiae_BSU174.mat,2179,835,467,288,41,95,7
Acidaminococcus_massiliensis_Marseille_P2828.mat,1018,890,408,439,36,47,5
Escherichia_coli_KTE26.mat,3621,1226,723,300,107,190,8
Campylobacter_sp_10_1_50.mat,991,646,306,306,26,27,5
Bacillus_cereus_BAG1O_1.mat,2047,1247,762,307,84,171,8
Staphylococcus_lugdunensis_M23590.mat,1635,1051,655,282,59,113,7
Staphylococcus_aureus_M0792.mat,1392,730,348,278,49,84,6
Parascardovia_denticolens_F0305.mat,825,467,246,195,14,19,6
Mycobacterium_abscessus_3A_0122_S.mat,1335,843,480,275,110,75,7
Helicobacter_pylori_GAMchJs124i.mat,1300,916,462,398,35,81,7
Sphingosinicella_microcystinivorans_DSM_19791.mat,1211,709,337,296,46,70,6
Lactobacillus_acidipiscis_ACA_DC_1533.mat,953,555,318,204,28,27,6
Oceanobacillus_caeni_HM6.mat,1240,720,437,223,39,54,6
Bifidobacterium_animalis_lactis_V9.mat,921,489,236,201,25,45,6
Escherichia_coli_MS_84_1.mat,3629,1232,722,293,103,205,8
Eubacterium_plexicaudatum_ASF492.mat,1079,695,370,283,25,41,5
Escherichia_coli_P0304816_3.mat,3200,893,437,304,77,122,7
Enterococcus_faecium_VAN_342.mat,1083,583,312,212,23,50,6
Gardnerella_vaginalis_14019_MetR.mat,832,483,209,241,21,29,6
Bacteroides_neonati_MS4.mat,1209,683,367,271,26,39,5
Bacillus_megaterium_NBRC_15308_ATCC_14581.mat,1539,860,473,273,119,89,6
Enterococcus_faecalis_WH571.mat,1252,684,342,275,25,59,6
Escherichia_coli_MP021552_11.mat,3652,1260,748,294,101,204,8
Cutibacterium_acnes_HL037PA2.mat,1183,680,356,241,40,71,5
Brachybacterium_paraconglomeratum_LC44.mat,1355,808,451,260,64,83,8
Fusobacterium_nucleatum_13_3C.mat,1104,626,359,222,25,37,6
Bacillus_cereus_BAG1X2_2.mat,2037,1240,759,312,80,165,8
Salmonella_enterica_subsp_enterica_serovar_Newport_str_CVM_21538.mat,2376,1248,765,288,98,181,7
Listeria_monocytogenes_Finland_1988.mat,1346,732,320,343,89,66,7
Staphylococcus_aureus_M1228.mat,1395,733,346,283,51,82,6
Listeria_monocytogenes_10403S.mat,1735,1061,626,317,112,123,8
Staphylococcus_aureus_M0964.mat,1392,730,348,278,49,84,6
Alistipes_senegalensis_JC50.mat,2334,600,360,206,23,33,6
Escherichia_coli_TW10119.mat,3145,862,441,285,70,106,7
Staphylococcus_aureus_M1309.mat,1387,745,356,287,49,84,6
Dorea_formicigenerans_ERR2221257.mat,1140,683,356,287,28,47,4
Blautia_luti_ERR1022471.mat,1094,672,386,237,27,50,5
Streptococcus_pneumoniae_2070005.mat,1107,572,241,273,17,56,5
Blautia_nov_ERR1022294.mat,1125,758,434,277,27,47,5
Achromobacter_insuavis_AXX_A.mat,1631,980,545,322,127,94,7
Escherichia_coli_O104_H4_str_ON2010.mat,3640,1265,736,298,115,221,8
Cutibacterium_acnes_HL002PA3.mat,2365,976,553,293,57,134,7
Treponema_socranskii_subsp_socranskii_VPI_DR56BR1116_ATCC_35536.mat,1165,678,345,288,33,46,5
Streptococcus_infantis_SK1076.mat,1196,791,509,233,24,64,8
Salmonella_enterica_subsp_enterica_serovar_Paratyphi_A_str_GZ9A00052.mat,1845,809,403,273,78,111,6
Microbacterium_gubbeenense_DSM_15944.mat,1219,727,401,260,47,55,8
