model,all_rxns,flagged,dead-ends,dilution-blocked,duplicates,loops,redoxes
Staphylococcus_aureus_subsp_aureus_IS_3.mat,1392,731,348,279,49,84,6
Helicobacter_pylori_SJM180.mat,1282,825,462,307,33,71,7
Staphylococcus_aureus_M0334.mat,1409,732,348,278,51,84,6
Lactobacillus_pasteurii_DSM_23907_CRBIP_24_76.mat,869,516,293,196,19,19,5
Streptococcus_pneumoniae_NP141.mat,1091,601,264,279,17,56,5
Staphylococcus_aureus_subsp_aureus_C160.mat,1385,728,344,278,51,84,5
Pseudomonas_putida_S12.mat,1782,947,501,309,90,101,7
Sarcina_nov_ERR1022371.mat,1211,694,450,202,33,36,6
Salmonella_enterica_subsp_enterica_serovar_Newport_str_CVM_19536.mat,2373,1255,775,287,98,179,7
Campylobacter_jejuni_subsp_jejuni_LMG_9872.mat,1329,881,466,335,51,80,7
Salmonella_enterica_subsp_enterica_serovar_Agona_str_59_F_08.mat,2345,1248,769,295,94,172,7
Porphyromonadaceae_nov_ERR2221374.mat,988,650,350,259,23,37,6
Escherichia_coli_DEC4E.mat,3565,1247,742,299,101,199,8
Acinetobacter_baumannii_ABNIH18.mat,1547,858,455,295,68,88,7
