model,all_rxns,flagged,dead-ends,dilution-blocked,duplicates,loops,redoxes
Staphylococcus_aureus_M0602.mat,1407,730,348,278,49,84,6
Escherichia_coli_ERR2221214.mat,1890,825,390,312,71,100,7
Oceanobacillus_jeddahense_S5.mat,1338,791,431,283,50,58,6
Acinetobacter_baumannii_ABNIH15.mat,1551,860,455,295,70,88,7
Bacillus_cereus_BAG4X12_1.mat,2011,1229,740,318,82,166,8
Brachyspira_pilosicoli_P43_6_78.mat,1462,957,600,288,44,75,7
Anaerotignum_lactatifermentans_DSM_14214.mat,930,597,298,253,22,41,5
Escherichia_coli_KTE7.mat,3564,1219,727,290,96,186,8
Enterococcus_faecalis_ERV68.mat,1563,953,561,290,41,111,8
Bacteroides_sp_3_1_23.mat,2560,783,458,242,39,83,6
Staphylococcus_aureus_subsp_aureus_CIGC128.mat,1409,736,350,282,51,84,6
Helicobacter_pylori_HP260BFii.mat,1303,904,453,395,35,81,7
Acinetobacter_baumannii_AB_909_05.mat,1552,859,458,291,70,88,7
Mesorhizobium_loti_MAFF303099.mat,1751,994,560,317,118,98,8
Helicobacter_pylori_Hp_P_8b.mat,1300,838,466,313,35,75,7
Bacillus_mycoides_CER074.mat,1995,1197,723,314,82,155,8
Enterococcus_faecalis_SF350.mat,1248,668,321,275,27,62,6
Streptococcus_mitis_SK564.mat,1208,794,480,252,27,76,8
Leptotrichia_hongkongensis_JMUB5056.mat,1069,682,364,297,22,19,4
Intestinimonas_butyriciproducens_SRB_521_5_I.mat,1009,655,374,244,14,39,4
Staphylococcus_aureus_subsp_aureus_132.mat,1432,733,348,283,49,82,6
Clostridium_clariflavum_DSM_19732.mat,1126,742,415,273,24,51,8
Escherichia_coli_KTE135.mat,3614,1229,725,293,99,199,8
Campylobacter_jejuni_subsp_jejuni_CG8421.mat,1305,857,441,342,49,80,7
Campylobacter_coli_LMG_9860.mat,1384,911,484,341,55,81,7
Rhodococcus_equi_103S.mat,1803,1196,780,301,94,121,8
Blautia_nov_ERR2221170.mat,1096,692,396,238,33,60,5
Klebsiella_pneumoniae_subsp_pneumoniae_WGLW1.mat,2533,1297,819,285,100,178,8
Candidatus_Dorea_massiliensis_AP6.mat,1027,643,417,198,24,19,4
Lachnospiraceae_nov_ERR2221266.mat,946,634,373,225,24,30,4
Lachnospiraceae_nov_ERR1022381.mat,1180,737,437,251,42,44,5
