model,all_rxns,flagged,dead-ends,dilution-blocked,duplicates,loops,redoxes
Dialister_succinatiphilus_YIT_11850.mat,1193,779,434,285,29,61,6
Escherichia_coli_180600.mat,3629,1234,728,291,105,192,8
Bifidobacterium_bifidum_PRL2010.mat,1158,576,252,252,41,66,6
Escherichia_coli_KTE37.mat,3585,1244,729,310,93,194,8
Clostridium_perfringens_D_str_JGS1721.mat,2442,968,594,288,55,95,8
Helicobacter_pylori_Hp_P_26.mat,1285,821,441,320,33,75,7
Escherichia_coli_DEC13C.mat,3618,1247,734,297,111,208,8
Clostridium_polynesiense_MS1.mat,1073,726,413,280,21,32,5
Escherichia_coli_DEC5D.mat,3597,1267,759,299,104,199,8
Escherichia_fergusonii_ATCC_35469.mat,2032,924,489,278,68,136,8
Lysinibacillus_fusiformis_ZC1.mat,1809,1190,763,299,89,139,8
Staphylococcus_aureus_A9765.mat,1404,732,370,265,49,79,6
Staphylococcus_aureus_M0695.mat,1411,734,358,278,47,78,6
Enterococcus_faecalis_B2488.mat,1233,661,328,276,23,49,6
Enterorhabdus_mucosicola_DSM_19490.mat,919,620,326,256,19,40,5
Numidum_massiliense_mt3.mat,1272,780,432,283,90,65,5
Paraclostridium_bifermentans_Cbm.mat,1089,649,407,210,28,26,5
Ochrobactrum_intermedium_LMG_3301.mat,1673,979,522,330,123,105,8
Staphylococcus_hominis_SK119.mat,1613,1029,629,277,66,120,7
Haemophilus_haemolyticus_HK386.mat,1465,911,573,255,29,86,7
Campylobacter_coli_H56.mat,1409,924,491,340,55,88,7
Staphylococcus_aureus_subsp_aureus_VRS6.mat,1387,726,349,279,49,78,6
Bifidobacterium_bifidum_156B.mat,1023,525,230,246,23,43,5
Olsenella_uli_DSM_7084.mat,1018,665,387,223,35,56,8
Ruminococcus_bromii_ATCC_27255.mat,838,507,239,241,17,26,5
Staphylococcus_aureus_M0250.mat,1407,730,348,278,49,84,6
Adlercreutzia_muris_DSM_29508.mat,882,595,308,254,17,35,5
Bacillus_thuringiensis_serovar_andalousiensis_BGSC_4AW1.mat,1555,874,474,278,61,104,6
Bacteroides_vulgatus_mpk.mat,1355,669,316,284,40,65,6
Klebsiella_pneumoniae_hvKP1.mat,2621,1341,837,278,114,200,8
Paeniclostridium_sordellii_UMC164.mat,1085,610,383,193,24,26,5
Salmonella_enterica_subsp_enterica_serovar_Enteritidis_str_CDC_2010K_1441.mat,1878,844,438,283,76,103,6
Escherichia_coli_P0301867_1.mat,3172,869,434,289,74,117,7
Flavonifractor_plautii_ERR1022406.mat,1066,738,433,262,21,41,5
Citrobacter_freundii_FDAARGOS_73.mat,1835,874,459,305,72,88,7
Campylobacter_coli_86119.mat,1413,920,494,333,57,88,7
Trabulsiella_guamensis_ATCC_49490.mat,1866,865,482,277,59,85,8
Clostridium_butyricum_DKU_01.mat,2259,1073,683,256,66,141,7
Serratia_fonticola_GS2.mat,1783,825,412,314,64,84,7
Clostridium_symbiosum_WAL_14673.mat,1192,751,504,167,40,80,6
Escherichia_coli_RN587_1.mat,3138,835,413,279,75,108,7
Phascolarctobacterium_faecium_DSM_14760.mat,1058,744,349,360,22,30,4
Salmonella_bongori_BCW_1556.mat,1635,821,460,268,62,66,6
Prevotella_nigrescens_ATCC_33563.mat,1028,630,336,265,22,29,8
Eubacterium_cylindroides_T2_87.mat,940,709,307,371,22,33,5
Bacteroides_rodentium_JCM_16496.mat,1079,654,416,199,27,33,6
Lachnoclostridium_nov_ERR2221145.mat,1160,694,402,241,42,50,5
Salmonella_enterica_subsp_enterica_serovar_Typhimurium_str_STm1.mat,2378,1248,776,291,94,169,7
Acinetobacter_pittii_TG6411.mat,1983,1204,740,305,90,152,8
Streptococcus_parasanguinis_FW213.mat,1336,787,432,276,30,86,8
Escherichia_coli_KTE129.mat,3551,1222,719,290,101,198,8
Salmonella_enterica_subsp_enterica_serovar_Agona_str_07_O_05.mat,2351,1245,769,289,94,175,7
Finegoldia_magna_ACS_171_V_Col3.mat,843,568,286,246,17,36,5
Brachyspira_aalborgi_PC3053II.mat,1143,699,371,298,20,27,4
Staphylococcus_aureus_M0547.mat,1409,732,348,278,51,84,6
Gottschalkia_purinilyticum_DSM_1384.mat,981,603,315,253,23,38,5
Streptococcus_mutans_M2A.mat,1371,824,474,297,28,65,7
Bifidobacterium_dentium_Bd1.mat,2174,757,497,184,41,68,7
Actinobacillus_pleuropneumoniae_serovar_6_str_Femo.mat,1762,1045,620,306,58,129,8
Escherichia_coli_DEC12E.mat,3581,1221,721,298,93,188,8
Lactobacillus_crispatus_FB049_03.mat,1141,725,467,210,32,58,8
Enterococcus_faecalis_TX1337RF.mat,1099,589,319,211,23,50,6
Clostridiales_incertae_sedis_nov_ERR1022334.mat,831,529,352,140,22,35,4
Escherichia_coli_ARS4_2123.mat,3560,1215,711,296,101,189,8
Lactobacillus_animalis_ERR2221125.mat,959,587,341,212,21,22,5
Escherichia_coli_042.mat,3608,1234,731,294,97,194,8
Campylobacter_coli_LMG_23336.mat,1394,907,476,341,57,85,7
Enterococcus_faecium_EnGen0319.mat,1395,855,541,222,38,90,7
Coprococcus_sp_HPP0048.mat,976,625,368,227,23,31,4
Blautia_torques_ERR1022325.mat,1179,649,338,269,25,51,5
Ruminococcaceae_nov_ERR2230068.mat,893,587,361,204,14,23,4
Coprococcus_nov_ERR2230098.mat,1047,679,408,228,29,42,5
Bacillus_timonensis_10403023.mat,1469,817,456,270,54,83,8
Escherichia_coli_W.mat,3201,876,441,283,77,122,7
Streptococcus_pyogenes_MGAS10394.mat,941,530,276,238,13,15,5
Prevotella_pleuritidis_JCM_14110.mat,873,636,305,309,11,18,6
Clostridium_ramosum_VPI_0427_DSM_1402.mat,1049,708,451,204,28,58,6
Adlercreutzia_equolifaciens_DSM_19450.mat,889,575,339,198,21,41,5
Salmonella_enterica_subsp_enterica_serovar_Newport_str_Henan_3.mat,2365,1243,769,291,96,171,7
Staphylococcus_aureus_M1405.mat,1392,730,348,278,49,84,6
Salmonella_enterica_subsp_enterica_serovar_Dublin_str_UC16.mat,2388,1265,770,295,106,190,7
Bifidobacterium_longum_ERR2221351.mat,1091,575,272,252,29,41,5
Aggregatibacter_aphrophilus_F0387.mat,1635,1002,627,268,48,111,7
Escherichia_coli_O103H2_str_CVM9450.mat,3610,1243,731,298,101,198,8
Helicobacter_pylori_NQ4200.mat,1274,847,465,323,35,75,7
Bacillus_cereus_BGSC_6E1.mat,2033,1218,751,322,82,142,8
Enterococcus_faecalis_SF370.mat,1231,658,327,276,21,47,6
Acinetobacter_baumannii_ABNIH14.mat,1551,860,455,295,70,88,7
Helicobacter_pylori_52.mat,1273,837,466,329,40,58,7
Microbacterium_paraoxydans_77MFTsu3_2.mat,1331,760,444,224,52,83,8
Bacteroides_intestinalis_341_DSM_17393.mat,2584,732,472,187,37,71,6
Enterococcus_faecalis_A_2_1.mat,1233,659,315,279,25,57,6
Streptococcus_mutans_TCI_51.mat,1344,839,488,290,28,73,7
Sarcina_nov_ERR2221229.mat,1073,610,380,197,26,26,4
Finegoldia_magna_SY403409CC001050417.mat,836,562,289,237,17,36,5
Staphylococcus_aureus_M0326.mat,1409,733,348,279,51,84,6
Lachnospiraceae_nov_ERR2230057.mat,1024,661,379,249,24,34,4
Escherichia_coli_MS_145_7.mat,3600,1242,716,312,113,208,8
Ruminococcus_callidus_ATCC_2776001.mat,1031,702,389,279,21,33,7
Streptococcus_pneumoniae_GA56113.mat,1117,589,262,269,17,56,5
Streptococcus_agalactiae_GB00901.mat,2209,858,480,296,45,99,7
Helicobacter_pylori_R037c.mat,1281,842,460,322,35,75,7
Yersinia_enterocolitica_subsp_palearctica_556_8265.mat,2148,1203,753,301,74,145,7
Listeria_monocytogenes_JF5171.mat,1258,715,352,318,85,45,7
Enterococcus_faecium_7330446_2.mat,1064,570,299,215,23,47,6
Butyrivibrio_fibrisolvens_16_4.mat,1156,766,466,254,31,45,7
Enterococcus_faecium_UAA949.mat,1073,588,314,215,23,50,6
Bifidobacterium_animalis_subsp_lactis_BLC1.mat,1133,654,453,142,33,59,7
Lactobacillus_casei_ERR2221291.mat,1126,602,318,237,33,39,5
Lactobacillus_acidophilus_La_14.mat,1284,772,447,269,36,100,7
Helicobacter_typhlonius_ATCC_BAA_367.mat,993,666,310,320,28,29,5
Anaerococcus_tetradius_ATCC_35098.mat,1699,561,327,208,21,24,6
Escherichia_coli_KTE94.mat,3558,1215,711,292,99,200,8
Salmonella_enterica_subsp_enterica_serovar_Agona_str_SH11G1113.mat,2328,1234,757,290,98,175,7
Enterococcus_faecalis_ERV62.mat,1565,952,563,287,41,111,8
Enterococcus_casseliflavus_EC30.mat,1162,651,368,239,30,42,6
Salmonella_enterica_subsp_enterica_serovar_Anatum_str_06_0532.mat,2361,1233,760,288,98,173,7
