model,all_rxns,flagged,dead-ends,dilution-blocked,duplicates,loops,redoxes
Dorea_longicatena_DSM_13814.mat,1039,665,444,170,30,49,5
Vibrio_cholerae_A1552.mat,1463,751,402,274,44,65,6
Staphylococcus_aureus_subsp_aureus_VRS11b.mat,1404,725,346,278,49,81,6
Acinetobacter_baumannii_AB_515_8.mat,1551,860,455,295,70,88,7
Salmonella_enterica_subsp_enterica_serovar_Heidelberg_str_CFSAN00322.mat,1912,848,440,283,76,103,6
Peptoniphilus_indolicus_ATCC_29427.mat,1007,619,339,230,28,53,7
Bacteroides_fragilis_CL05T12C13.mat,2590,1021,624,281,54,124,8
Lactobacillus_suebicus_DSM_5007_KCTC_3549.mat,1854,680,372,258,37,49,5
Salmonella_enterica_subsp_enterica_serovar_Montevideo_str_CT_02035321.mat,3056,847,441,281,74,101,6
Enterorhabdus_caecimuris_B7.mat,903,585,320,229,17,38,5
Lactobacillus_plantarum_subsp_plantarum_P_8.mat,1537,905,572,217,50,117,8
Acetivibrio_cellulolyticus_CD2.mat,1007,677,354,294,17,30,5
Blastococcus_massiliensis_AP3.mat,1190,781,457,254,44,61,8
Staphylococcus_aureus_M0953.mat,1405,728,346,278,47,84,6
Staphylococcus_aureus_subsp_aureus_21310.mat,1400,737,352,282,50,82,6
Salmonella_enterica_subsp_enterica_serovar_Newport_str_SL317.mat,2368,1243,767,298,96,166,7
Peptostreptococcus_anaerobius_653_L.mat,1282,837,550,215,33,67,7
Moraxella_catarrhalis_BC8.mat,1410,1021,587,343,54,90,8
Lactobacillus_casei_ERR2221237.mat,1121,602,321,238,33,35,5
Escherichia_coli_P0305260_1.mat,3178,869,424,304,74,113,7
Escherichia_coli_O157_H7_str_EC4191.mat,3147,865,444,285,70,106,7
Staphylococcus_aureus_M1223.mat,1411,734,348,282,51,84,6
Salmonella_enterica_subsp_enterica_serovar_Enteritidis_str_CDC_2010K_0895.mat,1879,846,438,283,76,103,6
Cutibacterium_acnes_HL038PA1.mat,2344,940,530,279,55,135,7
