model,all_rxns,flagged,dead-ends,dilution-blocked,duplicates,loops,redoxes
Brachyspira_pilosicoli_B2904.mat,2438,783,429,298,32,57,7
Helicobacter_pylori_Hp_A_4.mat,1290,820,451,315,33,72,7
Klebsiella_pneumoniae_subsp_pneumoniae_ST258_K26BO.mat,2464,1255,801,279,105,155,8
Escherichia_coli_DEC13E.mat,3614,1241,728,297,111,208,8
Lachnospiraceae_nov_ERR1022308.mat,1163,714,414,250,37,51,5
Eubacterium_cellulosolvens_LD2006.mat,1045,701,397,262,25,37,5
Salmonella_enterica_subsp_enterica_serovar_Agona_str_68_U_05.mat,2344,1235,763,290,92,172,7
Salmonella_enterica_subsp_enterica_serovar_Enteritidis_str_81_2625.mat,1878,847,441,283,74,103,6
Enterococcus_faecalis_B1874.mat,1233,661,328,276,23,49,6
Escherichia_coli_KTE115.mat,3625,1256,742,308,103,192,8
Helicobacter_pylori_NQ4076.mat,1274,821,454,328,38,55,7
Syntrophus_gentianae_DSM_8423.mat,1091,691,378,273,25,39,5
Streptococcus_agalactiae_CCUG_38383.mat,1923,595,276,266,31,51,5
Escherichia_coli_KTE207.mat,3587,1219,722,292,101,190,8
Klebsiella_pneumoniae_ERR2221297.mat,1964,854,430,286,77,116,7
Helicobacter_pylori_Aklavik117.mat,1286,829,461,305,33,76,7
Corynebacterium_matruchotii_ATCC_14266.mat,973,611,321,241,31,39,5
Helicobacter_pylori_Hp_H_18.mat,1273,820,455,330,36,53,7
Lactobacillus_rhamnosus_ATCC_21052.mat,2315,922,576,249,43,99,8
Listeria_monocytogenes_FSL_R2_503.mat,1685,1013,587,307,112,117,8
Escherichia_coli_p0305293_2.mat,3209,901,445,304,77,122,7
Escherichia_coli_DEC11C.mat,3593,1237,725,298,101,198,8
Staphylococcus_epidermidis_NIHLM087.mat,1686,1063,620,313,71,121,7
Escherichia_coli_P0304777_8.mat,3202,866,432,283,79,119,7
Escherichia_coli_NCCP15657.mat,3616,1243,728,295,109,210,8
Escherichia_coli_2762100.mat,3611,1221,728,289,94,184,8
Streptococcus_mitis_B6.mat,1168,717,420,232,27,77,7
Helicobacter_pylori_Hp_P_2.mat,1283,826,458,310,31,75,7
Staphylococcus_aureus_subsp_aureus_DR10.mat,1392,731,346,282,53,81,6
Erysipelotrichaceae_nov_ERR1022417.mat,963,593,319,239,26,31,4
Cronobacter_sakazakii_ES15.mat,2271,1222,758,285,86,164,8
Staphylococcus_aureus_M0994.mat,1390,723,346,279,49,78,6
Helicobacter_pylori_Shi169.mat,1289,848,469,319,35,75,7
Lactobacillus_animalis_ERR2221327.mat,918,531,274,223,21,25,5
Streptococcus_agalactiae_GB00614.mat,2212,850,478,290,45,99,7
Clostridium_sp_D5.mat,1203,759,440,263,36,46,6
Paenibacillus_sp_ICGEB2008.mat,1323,771,453,260,46,42,7
Bacteroides_vulgatus_ERR2221272.mat,1317,678,329,290,30,55,6
Bacillus_clausii_KSM_K16.mat,1541,874,471,286,113,95,8
Salmonella_enterica_subsp_enterica_serovar_Agona_str_65_H_72.mat,2352,1235,761,290,94,172,7
Pseudomonas_fragi_F1794.mat,1568,919,550,282,72,60,7
Bacteroides_nov_ERR2221300.mat,1190,679,371,253,29,44,6
Erysipelatoclostridium_nov_ERR2221185.mat,996,682,388,264,25,28,5
Capnocytophaga_sp_oral_taxon_336_str_F0502.mat,1075,604,336,244,17,20,5
Staphylococcus_aureus_M0279.mat,1398,723,347,278,47,78,6
Enterococcus_faecalis_str_C_19315_led_1b_pp_SCV.mat,2062,688,340,275,27,65,6
Flavonifractor_plautii_ERR1022446.mat,1076,695,421,231,20,39,4
Yersinia_enterocolitica_subsp_palearctica_YE_P4.mat,2154,1206,756,301,74,145,7
Escherichia_coli_P0304777_10.mat,3200,853,428,280,79,113,7
Streptococcus_agalactiae_GB00965.mat,2197,862,490,294,39,93,7
Erysipelotrichaceae_nov_ERR2230080.mat,946,650,370,249,27,28,5
Enterococcus_faecalis_B2864.mat,1233,661,328,276,23,49,6
Klebsiella_michiganensis_MGH87.mat,1854,869,521,258,71,64,7
Staphylococcus_aureus_M0375.mat,1409,732,348,278,51,84,6
Providencia_burhodogranariea_DSM_19968.mat,1669,850,462,303,61,72,7
Anaerostipes_caccae_DSM_14662.mat,1174,734,503,178,35,51,5
Escherichia_coli_174900.mat,3610,1229,723,291,97,196,8
Parabacteroides_distasonis_ERR1022462.mat,1301,726,372,300,29,53,6
Pseudomonas_aeruginosa_M18.mat,2241,1303,801,325,124,168,8
Escherichia_coli_TA206.mat,3151,829,400,283,77,114,7
Enterococcus_faecium_E4215.mat,1070,584,312,215,21,50,6
Yersinia_enterocolitica_subsp_palearctica_PhRBD_Ye1.mat,2145,1200,752,301,74,142,7
Bacteroides_caccae_ERR2221107.mat,1387,663,324,285,28,49,6
Blautia_hydrogenotrophica_DSM_10507.mat,1066,656,431,152,34,84,5
Lachnospiraceae_bacterium_sp_5_1_63FAA.mat,1121,791,529,204,37,60,6
Bifidobacterium_breve_CECT_7263.mat,1349,766,470,223,37,72,7
Salmonella_enterica_subsp_enterica_serovar_Newport_str_CVM_35188.mat,2367,1243,767,298,96,166,7
Clostridium_cocleatum_ATCC_29902.mat,988,636,349,253,24,31,4
Lysinibacillus_sphaericus_2362.mat,1306,771,446,257,55,57,7
Streptococcus_agalactiae_CCUG_44186.mat,2177,867,489,301,37,93,8
Bacteroides_clarus_ERR2221196.mat,1163,663,406,189,27,69,5
Streptococcus_agalactiae_GB00884.mat,2190,851,483,292,39,93,7
Enterococcus_faecalis_B2685.mat,1233,661,328,276,23,49,6
Acinetobacter_baumannii_Ab33333.mat,1566,862,457,295,72,88,7
Ruminococcaceae_nov_ERR2221149.mat,880,628,338,261,12,25,4
Clostridioides_mangenotii_LM2.mat,990,607,342,235,25,26,6
Streptococcus_pneumoniae_PCS125219.mat,1108,588,252,274,19,62,5
Escherichia_coli_FRIK1990.mat,3586,1264,758,299,102,199,8
Campylobacter_showae_RM3277.mat,1271,896,517,293,52,93,7
Staphylococcus_epidermidis_VCU125.mat,1676,1038,606,304,67,119,7
Bacillus_sp_B_jedd.mat,1299,723,496,156,67,62,7
Parabacteroides_distasonis_ERR2221129.mat,1314,734,380,300,29,53,6
Escherichia_coli_O157_H7_str_FRIK966.mat,3145,862,441,285,70,106,7
Prevotella_loescheii_DSM_19665.mat,1093,677,345,296,25,34,8
Streptococcus_intermedius_F0413.mat,1249,803,459,277,26,77,8
Haemophilus_paraphrohaemolyticus_HK411.mat,1205,683,391,240,39,37,6
Eubacterium_hallii_DSM_3353.mat,1051,752,467,233,27,49,6
Burkholderia_cepacia_LO6.mat,1720,854,475,283,70,71,7
Escherichia_coli_FDA505.mat,3581,1252,750,299,98,197,8
Staphylococcus_aureus_subsp_aureus_JH9.mat,1408,732,348,278,49,86,6
Helicobacter_pylori_GAM83Bi.mat,1299,903,447,400,35,78,7
Enterococcus_faecalis_B1005.mat,1233,661,328,276,23,49,6
Clostridium_viride_DSM_6836.mat,1031,689,377,289,16,28,7
Clostridium_bolteae_90B7.mat,1759,1135,732,301,78,123,8
Neisseria_lactamica_ATCC_23970.mat,1082,658,303,311,37,44,5
Salmonella_enterica_subsp_enterica_serovar_Dublin_str_3246.mat,1911,852,439,284,72,104,6
Dorea_formicigenerans_ERR1022384.mat,1105,647,323,284,28,47,4
Streptococcus_pneumoniae_GA18068.mat,1093,592,265,265,17,60,5
