model,all_rxns,flagged,dead-ends,dilution-blocked,duplicates,loops,redoxes
Escherichia_coli_KTE106.mat,3565,1229,731,295,101,184,8
Salmonella_enterica_subsp_enterica_serovar_Gallinarum_str_287_91.mat,2359,1252,766,288,100,184,7
Campylobacter_jejuni_subsp_jejuni_LMG_23218.mat,1385,942,504,355,53,86,7
Bacillus_subtilis_subsp_subtilis_str_BSP1.mat,1585,870,470,291,115,87,6
Ruminococcaceae_nov_ERR2230059.mat,887,673,366,282,16,22,4
Gabonia_massiliensis_DSM_100571.mat,1063,680,423,204,22,50,5
Streptococcus_pneumoniae_GA47901.mat,1104,585,251,272,17,60,5
Escherichia_coli_P0299438_3.mat,3189,887,435,305,73,119,7
Halococcus_morrhuae_DSM1307.mat,938,603,428,128,38,51,7
Eubacterium_cellulosolvens_6.mat,1134,826,482,286,33,63,8
Escherichia_coli_KTE157.mat,3557,1219,716,292,101,198,8
Victivallis_vadensis_DSM_14823.mat,1102,691,323,322,27,44,5
Pseudomonas_aeruginosa_UCBPP_PA14.mat,2333,1333,815,325,128,182,8
Cutibacterium_acnes_HL067PA1.mat,2370,968,555,271,59,146,7
Escherichia_coli_P0299438_5.mat,3195,889,438,305,74,117,7
Staphylococcus_saprophyticus_subsp_saprophyticus_KACC_16562.mat,1657,1048,659,274,67,119,8
Escherichia_coli_DEC9E.mat,3598,1253,730,318,107,196,8
Helicobacter_pylori_GAM270ASi.mat,1309,837,452,329,31,78,7
Escherichia_coli_0_1304.mat,3581,1257,751,299,102,194,8
Helicobacter_pylori_Hp_A_6.mat,1284,833,461,321,33,75,7
Enterococcus_faecium_E1627.mat,1074,586,316,214,23,47,6
Bacillus_cereus_BAG3X2_2.mat,2013,1234,745,318,82,166,8
Staphylococcus_aureus_M0999.mat,1407,730,348,278,49,84,6
Rikenellaceae_nov_ERR2221110.mat,907,655,350,277,15,26,5
Streptococcus_pneumoniae_BS455.mat,1093,568,234,276,17,56,5
Campylobacter_jejuni_subsp_jejuni_1997_1.mat,1340,944,486,383,49,80,7
Escherichia_coli_O83_H1_str_NRG_857C.mat,3151,832,407,282,77,108,7
Aeromonas_hydrophila_14.mat,2021,1181,732,303,78,137,7
Escherichia_coli_95_0083.mat,3573,1245,750,299,102,188,8
Alloprevotella_rava_F0323.mat,839,524,287,216,15,19,6
Enterococcus_faecalis_B594.mat,1233,661,328,276,23,49,6
Gracilibacter_sp_BRH_c7a.mat,1073,761,445,276,27,43,5
Escherichia_coli_96_0939.mat,3568,1245,749,295,92,189,8
Mogibacterium_sp_CM50.mat,742,516,265,236,16,15,5
Bacillus_subtilis_str_168.mat,1765,883,485,255,123,116,8
Pseudomonas_otitidis_LNU_E_001.mat,1574,907,521,290,76,67,7
Acinetobacter_baumannii_OIFC111.mat,1554,858,444,295,70,98,7
