model,all_rxns,flagged,dead-ends,dilution-blocked,duplicates,loops,redoxes
Staphylococcus_aureus_M1044.mat,1403,726,348,278,49,80,6
Escherichia_coli_H489.mat,3550,1216,719,294,97,190,8
Staphylococcus_hominis_subsp_hominis_C80.mat,1376,803,441,262,51,86,7
Exiguobacterium_aurantiacum_DSM_6208.mat,1322,754,419,259,41,65,7
Bifidobacterium_adolescentis_DSM_20087.mat,1030,509,257,209,21,35,5
Enterococcus_faecium_UAA951.mat,1073,588,314,215,23,50,6
Salmonella_enterica_subsp_enterica_serovar_Typhimurium_str_STm2.mat,2373,1250,775,289,96,172,7
Escherichia_coli_P0298942_6.mat,3199,876,435,283,77,126,7
Curtobacterium_flaccumfaciens_UCD_AKU.mat,1257,766,437,245,44,74,8
Bacteroides_sp_3_1_19.mat,2178,896,542,273,36,81,6
Prevotella_melaninogenica_ATCC_25845.mat,1130,622,335,247,28,33,8
Coprococcus_eutactus_ERR2221154.mat,1034,651,351,263,22,30,5
Helicobacter_pylori_26695_1MET.mat,1023,640,281,319,26,43,5
Aeromonas_caviae_FDAARGOS_72.mat,1479,764,392,295,51,62,6
Streptococcus_agalactiae_STIR_CD_28.mat,2190,852,481,290,43,95,8
Salmonella_enterica_subsp_enterica_serovar_Enteritidis_str_LA5.mat,2336,1232,763,291,100,166,8
Salmonella_enterica_subsp_enterica_serovar_Newport_str_CVM_19567.mat,2362,1243,765,296,98,166,7
Escherichia_coli_KTE150.mat,3558,1239,722,308,103,196,8
Enterococcus_faecalis_ERV65.mat,1563,953,561,290,41,111,8
Proteus_vulgaris_CSUR_P1867.mat,1478,779,435,268,53,61,6
Paeniclostridium_sordellii_SSCC35109.mat,1070,634,393,209,24,26,5
Campylobacter_coli_1148.mat,1399,914,480,341,55,88,7
Vibrio_parahaemolyticus_AQ3810.mat,1932,1150,751,285,76,117,8
Helicobacter_pylori_Hp_H_24.mat,1285,818,452,307,35,75,7
Staphylococcus_aureus_subsp_aureus_55_2053.mat,1380,743,354,285,53,87,5
Escherichia_coli_BW25113.mat,1908,853,412,313,73,107,7
Bacillus_amyloliquefaciens_XH7.mat,1511,865,485,280,114,78,6
Staphylococcus_pasteuri_SP1.mat,1367,793,427,269,51,83,7
Staphylococcus_aureus_LVP5.mat,1390,740,371,265,51,84,6
Salmonella_enterica_subsp_enterica_serovar_Heidelberg_str_CFSAN00326.mat,1915,844,439,281,75,101,6
Bifidobacterium_longum_longum_ATCC_55813.mat,1014,504,312,130,35,60,6
Collinsella_sp_MS5.mat,892,615,351,237,30,31,4
Staphylococcus_aureus_M0066.mat,1393,731,349,278,49,84,6
Bacteroides_xylanisolvens_SD_CC_1b.mat,2663,782,464,236,38,83,6
