model,all_rxns,flagged,dead-ends,dilution-blocked,duplicates,loops,redoxes
Escherichia_coli_99_0814.mat,3583,1262,750,299,102,205,8
Helicobacter_pylori_Aklavik86.mat,1256,835,448,331,31,79,7
Bacillus_cereus_BAG3X2_1.mat,2089,1241,761,306,91,168,8
Escherichia_coli_O104_H4_str_11_4632_C5.mat,3625,1266,738,297,113,221,8
Escherichia_coli_2362_75.mat,3564,1235,735,291,97,192,8
Lachnospiraceae_nov_ERR2221389.mat,1117,712,426,241,29,43,5
Escherichia_coli_BCE034_MS_14.mat,3618,1264,740,308,97,204,8
Escherichia_coli_KTE190.mat,3609,1227,724,300,105,190,8
Enterococcus_faecalis_B4411.mat,1233,661,328,276,23,49,6
Escherichia_coli_KTE208.mat,3604,1222,725,298,105,184,8
Nevskia_ramosa_DSM_11499.mat,1492,920,482,373,39,59,7
Bacillus_cereus_VD148.mat,2009,1229,739,312,82,169,8
Staphylococcus_aureus_M0006.mat,1401,731,366,261,47,84,6
Collinsella_aerofaciens_ERR2230090.mat,931,555,252,270,20,32,4
Escherichia_coli_EC4421.mat,3583,1258,752,299,102,199,8
Salmonella_enterica_subsp_enterica_serovar_Paratyphi_A_str_AKU_12601.mat,1893,852,438,281,78,111,6
Providencia_stuartii_MRSN_2154.mat,2133,1242,785,316,142,132,8
Escherichia_coli_EC1866.mat,3583,1266,754,299,102,205,8
Streptococcus_pneumoniae_GA14798.mat,1103,584,257,269,17,56,5
Micrococcus_luteus_RIT305.mat,1082,644,285,302,43,51,6
Streptococcus_agalactiae_GB00653.mat,2186,853,491,288,35,89,7
Blautia_luti_ERR2221098.mat,1082,681,386,245,27,51,5
Helicobacter_pylori_26695.mat,1139,717,460,198,24,59,6
Streptococcus_pneumoniae_GA17570.mat,1111,588,265,265,17,56,5
Escherichia_coli_1827_70.mat,3522,1198,707,295,101,175,8
Paeniclostridium_sordellii_R27882.mat,1090,615,394,187,24,26,5
Staphylococcus_aureus_subsp_aureus_21283.mat,1410,732,349,282,51,81,6
Helicobacter_fennelliae_NCTC13102.mat,998,675,314,328,24,36,5
Staphylococcus_aureus_KLT6.mat,1403,735,368,265,49,83,6
Haemophilus_parahaemolyticus_CCUG_3716_3716T.mat,1209,726,398,273,41,40,6
Staphylococcus_sp_HGB0015.mat,1157,669,439,141,51,74,7
Bacteroides_eggerthii_DSM_20697.mat,1305,737,447,234,32,52,6
Enterococcus_faecium_ERR2221317.mat,1009,564,343,186,28,27,6
Escherichia_albertii_EC06_170.mat,1661,817,446,279,67,68,6
Staphylococcus_epidermidis_AU12_03.mat,1689,1049,615,302,67,121,7
Arthrobacter_castelli_DSM_16402.mat,1356,769,442,247,57,68,8
Pseudomonas_aeruginosa_PACS2.mat,2266,1332,805,336,127,183,8
Salmonella_enterica_subsp_enterica_serovar_Enteritidis_str_653049_13_19.mat,2322,1224,755,294,98,159,7
Staphylococcus_aureus_M0306.mat,1406,729,347,278,49,84,6
Prevotella_oris_F0302.mat,990,568,320,215,21,27,6
Streptococcus_agalactiae_MRI_Z1_214.mat,2168,835,489,262,39,97,7
Enterococcus_faecalis_SF26630.mat,1230,650,322,274,23,44,6
Cedecea_davisae_DSM_4568.mat,1906,946,532,288,71,104,8
Escherichia_coli_KTE223.mat,3563,1216,721,290,99,190,8
Bacillus_cereus_VD200.mat,1977,1209,730,313,78,160,7
Eggerthella_lenta_326I6NA.mat,1169,819,501,270,37,67,7
Parvimonas_sp_oral_taxon_110_str_F0139.mat,712,467,239,221,8,10,4
Enterococcus_faecalis_D1.mat,1235,687,342,274,25,63,6
Escherichia_coli_KTE233.mat,3596,1227,725,302,97,187,8
Escherichia_coli_MP021552_12.mat,3658,1269,755,293,99,207,8
Klebsiella_pneumoniae_subsp_pneumoniae_1084.mat,2528,1249,796,284,101,156,8
Salmonella_enterica_subsp_enterica_serovar_Enteritidis_str_642044_4_1.mat,2337,1233,763,292,98,169,7
Streptococcus_pneumoniae_7533_05.mat,1107,582,255,269,17,56,5
Bradyrhizobium_elkanii_USDA_76.mat,1739,971,559,280,75,105,8
Bdellovibrio_bacteriovorus_W.mat,1047,728,375,324,22,27,6
Streptococcus_agalactiae_GB00867.mat,2197,845,474,290,45,97,8
Ruminococcaceae_nov_ERR2221393.mat,790,509,241,242,14,23,4
Acinetobacter_baumannii_AB4A3.mat,1568,849,469,270,72,83,7
Helicobacter_pylori_F30.mat,1302,835,453,319,40,80,7
Staphylococcus_aureus_VH221.mat,1393,736,351,283,49,82,6
Escherichia_coli_SE11.mat,3312,866,394,299,82,141,7
Acinetobacter_baumannii_AB900.mat,1567,864,456,289,70,98,7
Bacteroides_ovatus_ATCC_8483.mat,2896,741,414,229,50,98,6
Staphylococcus_aureus_subsp_aureus_IS_K.mat,1356,744,360,284,51,78,5
Escherichia_coli_KTE213.mat,3601,1229,735,297,99,182,8
Enterococcus_faecium_E1575.mat,1072,596,324,215,21,50,6
Escherichia_coli_H730.mat,3581,1253,752,293,98,197,8
Enterococcus_faecium_UAA947.mat,1086,593,317,217,23,50,6
Lactobacillus_salivarius_ERR2221215.mat,994,555,267,244,27,40,6
Extibacter_muris_DSM_28560.mat,1048,692,397,244,37,47,5
Staphylococcus_epidermidis_UC7032.mat,1690,1072,617,313,73,133,7
Lachnospiraceae_nov_ERR1022398.mat,979,618,369,210,23,38,5
