model,all_rxns,flagged,dead-ends,dilution-blocked,duplicates,loops,redoxes
Paenibacillus_sp_HGF7.mat,1375,833,480,287,49,51,6
Phascolarctobacterium_succinatutens_YIT_12067.mat,1100,791,449,270,25,65,4
Salmonella_enterica_subsp_enterica_serovar_Newport_str_CVM_21554.mat,1648,727,371,256,56,84,6
Mycoplasma_hyopneumoniae_J.mat,614,360,174,173,8,7,6
Escherichia_coli_DEC6D.mat,3573,1232,740,289,98,189,8
Enterococcus_faecium_E1613.mat,1087,589,324,204,25,50,6
Lactobacillus_rhamnosus_HN001.mat,2316,923,578,254,43,95,8
Blautia_producta_ERR2221380.mat,1161,674,395,225,35,52,5
Eisenbergiella_nov_ERR2221178.mat,1074,687,402,239,29,44,5
Pseudomonas_aeruginosa_9BR.mat,2253,1326,828,315,110,176,8
Thermus_scotoductus_K1_1.mat,1033,667,370,267,24,30,5
Enterococcus_faecalis_7330948_5.mat,1244,682,337,277,25,60,6
Bacteroides_vulgatus_ERR1203951.mat,1316,670,321,290,30,55,6
Bacteroides_nov_ERR1022456.mat,1208,689,389,254,27,37,6
Streptococcus_agalactiae_MRI_Z1_022.mat,2175,857,477,302,39,93,7
Salmonella_enterica_subsp_enterica_serovar_Agona_str_71_E_05.mat,2345,1235,762,289,94,172,7
Streptococcus_pneumoniae_TIGR4.mat,1110,569,245,266,17,56,5
Brevibacillus_agri_5_2.mat,1587,946,538,314,115,84,8
Escherichia_coli_O26_H11_str_CVM10030.mat,3180,871,440,284,75,117,7
Staphylococcus_aureus_subsp_aureus_VRS5.mat,1392,730,348,278,49,84,6
Enterococcus_faecalis_UAA906.mat,1244,675,335,279,25,51,6
Bacteroides_stercoris_ERR1204039.mat,1266,698,450,201,29,37,6
Acinetobacter_baumannii_Naval_81.mat,1556,863,454,291,70,96,7
Lactobacillus_gasseri_MV_22.mat,957,516,213,274,23,56,6
Selenomonas_ruminantium_AC2024.mat,1349,733,361,309,33,60,6
Klebsiella_pneumoniae_VAKPC280.mat,2501,1264,801,290,104,156,8
Veillonella_atypica_ACS_049_V_Sch6.mat,1260,767,385,302,33,77,6
Turicibacter_sanguinis_ERR1022280.mat,979,623,364,235,25,23,5
Moraxella_catarrhalis_25240.mat,1082,726,379,297,32,47,6
Staphylococcus_aureus_subsp_aureus_21195.mat,1402,739,361,280,48,79,5
Rubrobacter_radiotolerans_DSM_5868.mat,1123,721,436,231,42,48,5
Escherichia_coli_MP020980_1.mat,3619,1243,731,292,108,209,8
Bacteroides_vulgatus_dnLKV7.mat,2653,1035,616,309,52,119,8
Escherichia_coli_KTE163.mat,3616,1236,730,290,97,202,8
Escherichia_coli_E1520.mat,3598,1236,735,301,96,188,8
Bacteroides_uniformis_ERR2230138.mat,1305,648,359,246,27,37,5
Neisseria_subflava_NJ9703.mat,1327,762,396,286,41,75,7
Helicobacter_pylori_Hp_P_41.mat,1276,825,442,329,33,72,7
Bacillus_mycoides_VDM019.mat,2009,1200,735,304,80,152,8
Yersinia_enterocolitica_subsp_palearctica_Y11.mat,2175,1200,756,288,74,154,7
Klebsiella_pneumoniae_UHKPC_52.mat,2532,1251,811,290,106,131,8
Acinetobacter_baumannii_AB_2007_09_110_01_7.mat,1536,836,443,278,66,94,7
Pseudomonas_aeruginosa_PA45.mat,2255,1321,806,324,129,181,8
Pseudomonas_fluorescens_WH6.mat,1736,887,472,316,79,70,7
Enterococcus_faecium_UAA722.mat,1060,588,319,212,21,50,6
Salmonella_enterica_subsp_enterica_serovar_Montevideo_str_414877.mat,3502,1248,771,289,96,174,7
Vibrio_sinaloensis_DSM_21326.mat,1546,781,394,296,62,71,6
Helicobacter_pylori_GAMchJs114i.mat,1302,909,459,397,35,78,7
Escherichia_coli_KTE171.mat,3592,1233,746,289,94,183,8
Collinsella_aerofaciens_ERR2230127.mat,931,555,252,270,20,32,4
Rubeoparvulum_massiliense_DSM_100479.mat,1120,649,399,206,32,46,5
Escherichia_coli_99_0670.mat,3581,1256,750,299,102,199,8
Moraxella_catarrhalis_O35E.mat,1416,1027,593,343,54,90,8
Helicobacter_pylori_98_10.mat,1250,808,438,312,37,75,7
Lysinibacillus_fusiformis_ZB2.mat,1521,887,523,271,61,84,8
Lactobacillus_plantarum_WCFS1.mat,1245,768,555,140,34,72,7
Ureaplasma_urealyticum_serovar_12_str_ATCC_33696.mat,528,414,161,237,4,18,6
Escherichia_coli_KTE166.mat,3621,1240,729,291,103,208,8
Streptococcus_agalactiae_CCUG_47293.mat,2167,840,478,288,35,89,7
Klebsiella_oxytoca_ERR2221335.mat,1878,866,514,258,72,69,7
Escherichia_coli_KTE61.mat,3603,1226,726,289,97,197,8
Prevotella_corporis_DSM_18810.mat,977,630,297,304,17,34,7
Akkermansia_muciniphila_YL44.mat,1214,649,314,284,28,54,5
Enterococcus_faecalis_7430416_3.mat,1244,682,337,277,25,60,6
Arcobacter_butzleri_RM4018.mat,1113,726,346,308,39,64,8
Enterococcus_flavescens_ERR2221217.mat,1093,645,386,220,26,36,6
Enterococcus_faecalis_B1138.mat,1233,661,328,276,23,49,6
Bacteroides_stercoris_ERR2230124.mat,1257,681,441,193,29,37,6
Bacillus_cereus_AH820.mat,2032,1225,786,283,79,155,8
Streptococcus_agalactiae_LADL_05_108a.mat,2103,820,473,286,41,71,8
Lachnoclostridium_nov_ERR1022430.mat,1137,691,393,248,33,49,5
Escherichia_albertii_KF1.mat,1852,865,440,314,70,81,7
Staphylococcus_aureus_A8819.mat,1389,732,367,261,49,84,6
Lachnospiraceae_nov_ERR1022380.mat,1110,682,406,229,31,42,5
Staphylococcus_aureus_A10102.mat,1386,726,367,261,49,78,6
Staphylococcus_aureus_subsp_aureus_21334.mat,1395,719,338,275,51,84,6
Staphylococcus_aureus_M0531.mat,1411,742,348,282,53,92,6
Salmonella_enterica_subsp_enterica_serovar_Enteritidis_str_CDC_2010K_1745.mat,1882,845,437,283,76,103,6
Serratia_sp_FGI94.mat,1709,874,492,270,69,85,7
Actinobacillus_pleuropneumoniae_serovar_4_str_M62.mat,1747,1016,614,299,54,113,8
Bacillus_velezensis_UCMB5036.mat,1512,826,469,256,112,79,6
Pseudomonas_mendocina_DLHK.mat,1535,892,495,316,58,68,7
Haemophilus_paraphrohaemolyticus_CCUG_3718.mat,1170,684,392,240,39,37,6
Sarcina_ventriculi_ERR1022374.mat,1014,636,405,199,27,33,5
Campylobacter_jejuni_subsp_jejuni_CF93_6.mat,1326,892,476,362,51,62,7
Enterococcus_faecium_EnGen0376.mat,1398,858,542,224,40,92,8
Sphingosinicella_microcystinivorans_B9.mat,1213,709,339,294,46,70,6
Helicobacter_pylori_Hp_A_26.mat,1251,841,461,322,33,75,7
Staphylococcus_aureus_M0823.mat,1407,731,348,279,49,84,6
Alloscardovia_omnicolens_F0580.mat,793,465,222,217,14,20,4
Escherichia_coli_DEC10C.mat,3546,1234,721,301,109,196,8
Streptococcus_mutans_TCI_30.mat,1386,852,491,300,28,73,7
Blautia_gnavus_ERR1022310.mat,1171,673,352,275,33,49,5
Lactobacillus_rhamnosus_Lc_705.mat,2299,908,580,237,39,93,8
Guyana_massiliensis_LF_3.mat,962,630,319,277,23,29,5
Acinetobacter_baumannii_ANC_4097.mat,1569,861,463,288,71,87,7
Mycobacterium_avium_subsp_paratuberculosis_MAP4.mat,1752,1187,714,344,137,130,8
Streptococcus_agalactiae_GB00174.mat,2192,842,473,288,43,95,8
Streptococcus_agalactiae_CCUG_37739.mat,2206,848,475,290,47,99,8
Acinetobacter_baumannii_AB_TG2022.mat,1560,868,466,292,70,88,7
Escherichia_coli_BCE032_MS_12.mat,3585,1226,718,289,99,204,8
Blautia_nov_ERR1022424.mat,1137,762,413,306,27,43,5
Cutibacterium_acnes_J139.mat,2343,947,541,271,58,147,7
Enterococcus_faecalis_T12.mat,1231,673,324,279,25,62,6
Staphylococcus_aureus_M0900.mat,1390,729,347,278,49,84,6
Enterococcus_faecalis_OG1X.mat,1577,964,582,289,39,104,8
Acinetobacter_baumannii_NIPH_201.mat,1562,856,457,291,70,86,7
Paracoccus_yeei_ATCC_BAA_599.mat,1572,912,523,288,58,91,8
Bacteroides_vulgatus_ERR2230095.mat,1385,663,313,286,34,58,5
Helicobacter_pylori_Hp_P_13b.mat,1290,828,456,315,33,75,7
Granulicatella_adiacens_ATCC_49175.mat,877,570,291,259,20,23,7
Lactobacillus_gasseri_ERR1203930.mat,964,513,210,274,23,56,5
Aeromonas_veronii_AER39.mat,1979,1167,755,286,68,119,7
Escherichia_coli_O55_H7_str_3256_97.mat,3148,871,450,283,70,104,7
Escherichia_coli_2864350.mat,3631,1242,730,296,107,201,8
Streptococcus_mutans_2ST1.mat,1394,852,494,297,30,73,7
Enterococcus_faecalis_UAA1180.mat,1211,672,332,276,27,54,6
Parasutterella_excrementihominis_YIT_11859.mat,1178,796,453,281,29,58,6
Streptococcus_pneumoniae_8190_05.mat,1104,584,253,269,17,60,5
Burkholderia_cenocepacia_PC184.mat,2340,1406,946,327,144,140,8
Staphylococcus_aureus_M0455.mat,1387,726,349,279,49,78,6
Klebsiella_pneumoniae_VAKPC252.mat,2532,1272,809,285,106,161,8
Listeria_monocytogenes_serotype_1_2c_str_SLCC2372.mat,1299,734,361,316,90,52,7
Escherichia_coli_O104_H4_str_11_4404.mat,3626,1267,739,297,113,221,8
Streptococcus_sp_2_1_36FAA.mat,1014,667,424,211,17,31,6
Bacteroides_nordii_CL02T12C05.mat,1400,739,404,258,38,76,7
Blautia_nov_ERR2221270.mat,1074,705,408,254,27,43,5
Aeromonas_hydrophila_AH10.mat,1541,798,373,329,51,79,6
Barnesiella_intestinihominis_ERR2230085.mat,1091,577,330,209,23,34,5
Enterobacteriaceae_bacterium_9_2_54FAA.mat,1844,942,567,255,72,114,7
Bifidobacterium_longum_BG7.mat,1095,564,267,246,29,41,5
Enterococcus_faecalis_B1532.mat,1233,661,328,276,23,49,6
Acinetobacter_baumannii_AB1H8.mat,1555,864,459,295,70,88,7
Streptococcus_pneumoniae_GA13494.mat,1080,548,268,221,17,55,5
Escherichia_coli_2845650.mat,3612,1247,742,290,99,188,8
Pseudomonas_putida_HB3267.mat,1733,913,479,300,83,101,7
Staphylococcus_aureus_M1257.mat,1405,728,346,278,47,84,6
Staphylococcus_epidermidis_VCU041.mat,1672,1051,617,306,67,121,7
Staphylococcus_aureus_subsp_aureus_CIG290.mat,1397,739,349,282,53,86,6
Bacillus_cereus_AH187_F4810_72.mat,1648,846,371,334,67,116,6
Desulfovibrio_legallii_KHC7.mat,1069,699,355,311,21,32,5
Peptostreptococcus_anaerobius_DSM_2949.mat,1112,723,431,234,31,58,8
Intestinimonas_butyriciproducens_ERR1022450.mat,1009,652,372,243,14,39,4
Escherichia_coli_KTE193.mat,3590,1238,727,306,101,189,8
Staphylococcus_aureus_subsp_aureus_21340.mat,1403,736,349,283,49,84,6
Campylobacter_rectus_RM3267.mat,1100,753,425,256,30,67,7
Fructobacillus_pseudoficulneus_DSM_15468.mat,788,550,292,239,22,16,5
Synergistes_sp_3_1_syn1.mat,1138,702,416,259,24,26,4
Streptococcus_mutans_TCI_196.mat,1380,847,485,301,28,73,7
Campylobacter_coli_1098.mat,1397,900,490,324,55,81,7
Salmonella_enterica_subsp_salamae_str_3588_07.mat,2370,1263,761,294,94,193,7
Bacillus_subtilis_BSn5.mat,1595,853,472,270,117,89,6
Bacillus_cereus_W.mat,1981,1212,744,314,78,158,8
Escherichia_coli_75.mat,3582,1227,727,289,92,199,8
Citrobacter_amalonaticus_FDAARGOS_166.mat,1791,856,448,304,68,78,7
