model,all_rxns,flagged,dead-ends,dilution-blocked,duplicates,loops,redoxes
Helicobacter_pylori_HLJHP271.mat,1295,830,457,312,37,75,7
Leclercia_adecarboxylata_KY2.mat,1744,884,488,302,65,72,7
Staphylococcus_aureus_subsp_aureus_CIG1176.mat,1384,726,343,277,51,84,5
Citrobacter_freundii_str_ballerup_7851_39.mat,2465,1307,799,303,100,189,8
Mycobacterium_abscessus_5S_0708.mat,1327,822,480,258,106,73,7
Streptococcus_agalactiae_STIR_CD_24.mat,2187,853,484,288,43,95,8
Lactobacillus_buchneri_NRRL_B_30929.mat,2299,988,643,255,54,96,8
Aeromonas_caviae_Ae398.mat,1735,890,448,296,67,118,8
Klebsiella_aerogenes_CAV1320.mat,1837,860,431,310,71,93,7
Citrobacter_amalonaticus_Y19.mat,1976,936,475,327,67,108,8
Streptococcus_pneumoniae_GA19077.mat,1090,532,253,221,15,54,5
Acinetobacter_baumannii_Naval_17.mat,1567,870,468,292,70,88,7
Escherichia_coli_EC4013.mat,3582,1259,753,299,102,199,8
Helicobacter_pylori_CPY6261.mat,1292,842,453,328,37,80,7
Murdochiella_vaginalis_DSM_102237.mat,736,668,286,357,14,34,3
Helicobacter_pylori_Hp_P_15.mat,1284,829,462,307,35,75,7
Lachnoclostridium_nov_ERR1204033.mat,1105,728,440,231,37,51,5
Salmonella_enterica_subsp_houtenae_str_ATCC_BAA_1581.mat,2241,1173,700,287,88,169,7
Escherichia_coli_P0301867_4.mat,3169,881,426,309,76,117,7
Campylobacter_coli_2548.mat,1397,920,501,338,52,81,7
Acinetobacter_baumannii_AB_1649_8.mat,1567,862,459,292,71,88,7
Enterococcus_faecalis_T10.mat,1223,674,330,277,25,59,6
Escherichia_coli_P0302293_10.mat,3200,894,439,305,77,120,7
Listeria_monocytogenes_SLCC_2540.mat,1349,731,321,341,89,66,7
Escherichia_coli_KTE17.mat,3560,1236,719,308,103,196,8
Streptococcus_agalactiae_GB00654.mat,2174,857,492,291,37,90,8
uncultured_Ruminococcus_sp_ERR1022393.mat,1010,674,449,177,22,47,4
Streptococcus_pneumoniae_GA47502.mat,1111,595,268,269,17,56,5
Staphylococcus_epidermidis_VCU120.mat,1657,1049,613,306,69,123,7
Escherichia_coli_KTE58.mat,3561,1224,728,290,100,192,8
Schlesneria_paludicola_DSM_18645.mat,1487,930,512,316,114,82,8
Staphylococcus_aureus_subsp_aureus_COL.mat,1410,734,348,282,51,84,6
Aeromonas_veronii_AER397.mat,1972,1146,730,285,71,119,7
Lactobacillus_iners_UPII_60_B.mat,948,607,371,198,15,36,8
Clostridium_sp_Marseille_P299.mat,1089,689,438,208,40,36,6
Enterobacter_lignolyticus_G5.mat,1736,878,510,285,65,57,6
Staphylococcus_epidermidis_VCU037.mat,1655,1046,614,306,65,119,7
Klebsiella_michiganensis_10_5250.mat,1855,889,525,276,71,64,7
Proteus_vulgaris_MGYG_HGUT_02516.mat,1460,774,458,243,50,57,6
Parabacteroides_goldsteinii_DSM_19448_WAL_12034.mat,1227,707,386,276,27,41,5
Escherichia_coli_BCE006_MS_23.mat,3576,1230,718,291,99,205,8
Streptococcus_infantarius_subsp_infantarius_CJ18.mat,1281,825,474,270,32,93,8
Streptococcus_salivarius_SK126.mat,1376,834,484,286,26,80,8
Streptococcus_pleomorphus_DSM_20574.mat,1034,688,380,271,30,39,7
Escherichia_coli_STEC_S1191.mat,3188,863,441,281,74,111,7
Campylobacter_jejuni_subsp_jejuni_2008_831.mat,1369,915,478,352,55,88,7
Salmonella_enterica_subsp_enterica_serovar_Newport_str_CVM_21550.mat,2392,1267,778,288,100,187,7
Prevotella_enoeca_JCM_12259.mat,984,665,358,280,17,27,7
Dorea_formicigenerans_ERR2221255.mat,1140,683,356,287,28,47,4
Acinetobacter_baumannii_Naval_2.mat,1555,863,458,295,70,88,7
Eubacterium_rectale_ERR2221160.mat,1139,643,344,253,25,45,5
Streptococcus_mutans_TCI_169.mat,1359,839,476,300,30,75,7
Streptococcus_agalactiae_LMG_15092.mat,2178,847,485,286,37,91,7
Eggerthella_lenta_AB8n2.mat,1140,795,476,271,33,63,7
Escherichia_coli_10_0869.mat,3589,1266,758,299,102,196,8
Escherichia_coli_TW00353.mat,3178,883,441,305,72,111,7
Megasphaera_nov_ERR1022370.mat,1122,670,379,258,30,26,4
Leptotrichia_buccalis_C_1013_b.mat,1245,743,402,309,21,33,7
Bacillus_cereus_Rock4_18.mat,2017,1228,746,305,80,166,8
Escherichia_coli_KTE15.mat,3578,1221,726,290,99,188,8
Bifidobacterium_animalis_subsp_animalis_ATCC_27672.mat,874,483,251,189,21,35,5
Bacteroides_uniformis_ERR1022412.mat,1396,667,367,256,27,37,5
Acinetobacter_baumannii_ABNIH1.mat,1544,859,457,292,70,88,7
Escherichia_coli_DH1.mat,3574,1227,721,306,98,187,8
Streptococcus_pneumoniae_GA13856.mat,1109,578,252,268,17,56,5
Streptococcus_uberis_0140J.mat,2017,664,331,262,29,75,7
Eubacterium_rectale_DSM_17629.mat,1185,668,328,287,25,47,5
Acinetobacter_baumannii_AB_2009_04_01_7.mat,1554,860,456,294,72,88,7
Acinetobacter_guillouiae_MSP4_18.mat,1369,819,408,327,71,56,7
Lactobacillus_gasseri_224_1.mat,930,542,230,274,20,29,5
Staphylococcus_aureus_M0177.mat,1392,730,348,278,49,84,6
Enterobacter_hormaechei_ATCC_49162.mat,2353,1285,770,313,97,184,8
Salmonella_enterica_subsp_enterica_serovar_Enteritidis_str_639672_46.mat,1879,845,437,285,76,103,6
Prevotella_buccalis_ATCC_35310.mat,989,611,349,236,17,22,6
Acinetobacter_baumannii_TYTH_1.mat,1543,855,456,289,70,90,7
Corynebacterium_variabile_DSM_44702.mat,1093,691,390,241,45,48,7
