model,all_rxns,flagged,dead-ends,dilution-blocked,duplicates,loops,redoxes
Staphylococcus_aureus_M1083.mat,1392,730,348,278,49,84,6
Salmonella_enterica_subsp_enterica_serovar_Typhimurium_str_STm6.mat,2297,1226,759,299,95,155,7
Escherichia_coli_KTE211.mat,3576,1229,730,295,99,187,8
Paeniclostridium_sordellii_AF05_25.mat,1066,631,393,208,24,24,5
Veillonella_ratti_ACS_216_V_Col6b.mat,1296,709,363,272,31,73,7
Alcaligenes_faecalis_subsp_faecalis_NBRC_13111.mat,1620,914,499,329,105,76,8
Mobiluncus_mulieris_FB024_16.mat,839,589,263,283,31,33,5
Streptococcus_agalactiae_GB00018.mat,2210,846,473,290,47,99,8
Blautia_wexlerae_ERR1022425.mat,1081,677,381,247,27,50,5
Anaerobaculum_hydrogeniformans_OS1_ATCC_BAA_1850.mat,1142,672,429,162,31,83,5
Escherichia_coli_KTE184.mat,3623,1240,724,297,107,209,8
Lactobacillus_iners_DSM_13335.mat,824,500,250,236,7,12,7
Streptococcus_agalactiae_CCUG_44140.mat,2213,851,479,290,45,99,7
Fusobacterium_nucleatum_subsp_animalis_3_1_33.mat,1144,688,457,182,31,45,6
Escherichia_coli_DEC15B.mat,3606,1233,730,297,109,198,8
Anaerotruncus_colihominis_ERR1022453.mat,1075,629,395,195,29,35,5
Streptococcus_agalactiae_PR06.mat,2195,866,491,289,45,103,7
Escherichia_coli_KTE31.mat,3013,851,469,262,71,95,7
Providencia_stuartii_FDAARGOS_87.mat,1640,893,461,344,113,72,7
Escherichia_coli_O104_H4_str_11_4623.mat,3619,1265,737,297,113,221,8
Acinetobacter_baumannii_Naval_83.mat,1562,849,452,285,73,89,7
Lactobacillus_jensenii_SJ_7A_US.mat,1154,728,431,236,25,95,8
Enterococcus_faecalis_ERR1203921.mat,1178,634,337,253,24,37,6
Staphylococcus_aureus_M1142.mat,1393,730,348,278,49,84,6
Streptococcus_agalactiae_FSL_S3_105.mat,2206,846,475,286,45,97,8
Lactobacillus_saerimneri_30a.mat,820,539,296,219,20,21,5
Escherichia_coli_P0302293_8.mat,3201,892,437,305,77,120,7
Bifidobacterium_breve_MCC_0121.mat,1044,523,250,226,27,39,5
Klebsiella_pneumoniae_UHKPC01.mat,2613,1322,832,284,112,181,8
Mycobacterium_abscessus_4S_0726_RB.mat,1311,822,475,259,108,77,7
Streptococcus_thermophilus_JIM_8232.mat,1327,1161,465,652,24,85,7
Enterococcus_faecalis_T6.mat,1224,685,343,281,25,53,6
Enterococcus_faecalis_T4.mat,1233,659,315,279,25,57,6
Bacteroides_clarus_ERR2230074.mat,1239,698,406,241,29,41,6
Escherichia_coli_MS_182_1.mat,3628,1244,741,288,99,201,8
Helicobacter_pylori_HLJHP256.mat,1296,833,463,309,37,75,7
Escherichia_coli_P0305260_8.mat,3174,851,427,280,75,113,7
Acinetobacter_baumannii_OIFC180.mat,1564,873,468,295,70,88,7
Dorea_longicatena_ERR1022324.mat,1036,659,390,224,28,41,5
Helicobacter_pylori_B38.mat,1283,823,451,313,35,75,7
Lactobacillus_algidus_DSM_15638.mat,832,501,257,222,17,14,5
Klebsiella_pneumoniae_subsp_rhinoscleromatis_ATCC_13884.mat,2479,1254,808,281,99,138,8
Escherichia_coli_2854350.mat,3588,1234,727,306,99,190,8
Enterococcus_faecalis_TX0027.mat,1580,976,583,286,39,116,8
Enterococcus_durans_IPLA_655.mat,1402,918,590,239,44,99,8
Helicobacter_bilis_ATCC_43879.mat,1077,950,437,476,28,54,5
Streptococcus_pneumoniae_EU_NP05.mat,1082,570,244,268,17,56,5
Enterococcus_faecalis_TX1322.mat,1202,668,478,101,30,81,5
Streptococcus_agalactiae_CCUG_29376.mat,2178,851,489,288,35,89,7
Nosocomiicoccus_massiliensis_NP2.mat,863,601,348,231,23,25,6
Helicobacter_pylori_B128.mat,1052,600,244,300,18,65,5
Acinetobacter_baumannii_48055.mat,1556,864,459,295,70,88,7
Escherichia_coli_p0305293_5.mat,3204,879,447,280,75,122,7
Staphylococcus_aureus_subsp_aureus_JH1.mat,1408,732,348,278,49,86,6
Escherichia_coli_UMNK88.mat,3206,867,437,284,75,116,7
Streptococcus_pneumoniae_GA47388.mat,1118,593,270,265,17,56,5
Staphylococcus_aureus_M0340.mat,1411,734,348,282,51,84,6
Lactobacillus_casei_ERR2221303.mat,1126,614,325,249,35,32,5
Agrobacterium_tumefaciens_F2.mat,1781,918,487,286,80,119,8
Clostridium_sp_AT4.mat,869,762,362,368,28,54,5
Streptococcus_agalactiae_LMG_15081.mat,2187,850,484,288,39,93,7
Virgibacillus_massiliensis_Vm_5.mat,1374,806,451,288,47,55,7
Sphingobium_amiense_NBRC_102518.mat,1237,767,386,314,42,60,7
Streptococcus_mutans_1SM1.mat,1370,848,482,314,28,64,7
Clostridium_saccharolyticum_WM1.mat,1228,621,341,243,30,36,5
Kingella_oralis_ATCC_51147.mat,1165,718,395,281,33,39,8
Lactobacillus_crispatus_214_1.mat,864,513,266,222,21,22,5
Yersinia_enterocolitica_subsp_palearctica_YE_P1.mat,2153,1207,757,301,74,145,7
