model,all_rxns,flagged,dead-ends,dilution-blocked,duplicates,loops,redoxes
Bacillus_thuringiensis_serovar_kurstaki_str_T03a001.mat,1544,873,460,287,62,106,6
Escherichia_coli_93_0055.mat,3585,1262,756,299,102,199,8
Enterococcus_faecalis_SF24413.mat,1241,663,322,272,27,59,6
Blautia_nov_ERR2230116.mat,1127,683,392,240,31,51,5
Helicobacter_pylori_UM054.mat,1296,844,458,325,35,80,7
Helicobacter_pylori_CPY6271.mat,1292,831,459,311,37,75,7
Providencia_alcalifaciens_Dmel2.mat,2036,1181,728,295,85,144,7
Streptococcus_pneumoniae_GA44452.mat,1103,574,247,269,17,56,5
Campylobacter_jejuni_CJM1cam.mat,990,639,239,356,33,34,5
Staphylococcus_epidermidis_VCU028.mat,1677,1047,608,312,67,116,7
Staphylococcus_aureus_subsp_aureus_21305.mat,1404,730,346,282,49,84,6
Bacteroides_fragilis_BOB25.mat,1354,688,333,288,38,63,6
Enterococcus_faecalis_7430821_4.mat,1244,682,337,277,25,60,6
Bacteroides_uniformis_ERR1022322.mat,1348,680,376,258,27,37,5
Flavonifractor_plautii_ERR2221213.mat,1099,704,432,229,20,39,4
Streptococcus_dysgalactiae_subsp_equisimilis_RE378.mat,2119,804,499,222,43,93,8
Eggerthella_lenta_1160AFAA.mat,1150,812,494,270,37,67,7
Acinetobacter_calcoaceticus_TG19593.mat,1966,1200,740,307,92,146,8
Pseudoramibacter_alactolyticus_ATCC_23263.mat,1038,714,414,256,34,49,8
Proteus_mirabilis_CYPM1.mat,1470,769,432,259,57,61,6
Staphylococcus_aureus_subsp_aureus_ECT_R_2.mat,1387,728,350,278,49,80,6
Proteus_mirabilis_PR03.mat,1979,1136,721,272,81,140,7
Shigella_flexneri_K_272.mat,2904,826,430,284,65,89,7
Bacillus_thuringiensis_serovar_thuringiensis_str_T01001.mat,1650,919,480,289,71,130,8
Escherichia_coli_O127_H6_str_E2348_69.mat,3134,839,432,258,69,118,7
Enterococcus_faecium_E1972.mat,1077,591,319,213,23,50,6
Bacillus_halotolerans_RRC_101.mat,1937,1180,766,285,135,122,8
Streptococcus_pneumoniae_GA19101.mat,1096,577,251,268,17,56,5
Enterococcus_faecalis_ERR2230084.mat,1132,603,302,256,26,39,6
Salmonella_enterica_subsp_enterica_serovar_Newport_str_CVM_19449.mat,2363,1241,765,291,98,171,7
Ruminococcaceae_nov_ERR2221180.mat,850,659,363,275,14,18,5
Helicobacter_pylori_GAM80Ai.mat,1295,897,446,398,35,75,7
Blautia_coccoides_YL58.mat,1130,660,393,215,33,52,5
Streptococcus_mutans_TCI_82.mat,1375,837,475,300,30,73,8
Clostridium_sulfidigenes_113A_c1.mat,1086,622,367,208,31,41,5
Ruminococcaceae_nov_ERR2221397.mat,850,659,363,275,14,18,5
Alistipes_sp_HGB5.mat,1118,610,358,213,21,38,5
Roseburia_faecis_ERR1022321.mat,1039,653,367,252,20,30,5
Haemophilus_influenzae_R2846.mat,1452,766,372,304,33,89,7
Streptococcus_pneumoniae_CDC1873_00.mat,1106,580,250,272,17,56,4
Cutibacterium_acnes_HL043PA1.mat,2336,938,528,279,55,135,7
Lactobacillus_buchneri_CD034.mat,2290,980,652,246,52,89,8
