reaction_id,category
r_0001,Dilution
r_0002,Dilution
r_0004,Dilution
r_0005,Dead-End
r_0006,Dead-End
r_0030,Dead-End
r_0057,Dilution
r_0073,Dead-End
r_0074,Dead-End
r_0081,Dead-End
r_0084,Dead-End
r_0088,Dead-End
r_0092,Dead-End
r_0093,Dead-End
r_0094,Dead-End
r_0100,Dilution
r_0101,Dilution
r_0102,Dilution
r_0105,Dilution
r_0106,Dilution
r_0107,Dilution
r_0116,Dead-End
r_0120,Dilution
r_0121,Dilution
r_0122,Dilution
r_0123,Dilution
r_0124,Dilution
r_0125,Dilution
r_0137,Dead-End
r_0146,Dead-End
r_0154,Dilution
r_0155,Dead-End
r_0157,Dead-End
r_0163,Multiple
r_0164,Dead-End
r_0165,Loop
r_0166,Duplicate
r_0168,Duplicate
r_0169,Duplicate
r_0171,Duplicate
r_0173,Duplicate
r_0174,Duplicate
r_0175,Duplicate
r_0176,Multiple
r_0177,Multiple
r_0178,Multiple
r_0179,Duplicate
r_0181,Duplicate
r_0182,Duplicate
r_0184,Duplicate
r_0185,Dead-End
r_0189,Dead-End
r_0190,Dead-End
r_0198,Dead-End
r_0200,Dead-End
r_0205,Dead-End
r_0209,Dead-End
r_0210,Dead-End
r_0212,Dead-End
r_0213,Dead-End
r_0216,Loop
r_0217,Loop
r_0218,Dilution
r_0220,Dead-End
r_0229,Dead-End
r_0230,Dead-End
r_0234,Dilution
r_0235,Dilution
r_0236,Dilution
r_0237,Dilution
r_0238,Dilution
r_0239,Dilution
r_0240,Dilution
r_0241,Dilution
r_0252,Dilution
r_0253,Dilution
r_0254,Dilution
r_0255,Duplicate
r_0256,Multiple
r_0271,Dead-End
r_0272,Dead-End
r_0280,Loop
r_0281,Dead-End
r_0282,Dead-End
r_0283,Dead-End
r_0284,Dead-End
r_0285,Dead-End
r_0286,Dead-End
r_0287,Dead-End
r_0288,Dead-End
r_0289,Dead-End
r_0290,Dead-End
r_0291,Dead-End
r_0292,Dead-End
r_0293,Dead-End
r_0294,Multiple
r_0295,Multiple
r_0296,Dead-End
r_0297,Dead-End
r_0298,Dead-End
r_0299,Dead-End
r_0301,Dilution
r_0302,Loop
r_0303,Loop
r_0304,Dead-End
r_0313,Dead-End
r_0319,Dead-End
r_0320,Multiple
r_0321,Multiple
r_0322,Dead-End
r_0323,Dead-End
r_0328,Dead-End
r_0332,Dead-End
r_0335,Dead-End
r_0342,Multiple
r_0343,Multiple
r_0360,Dead-End
r_0361,Dead-End
r_0362,Dead-End
r_0365,Dead-End
r_0368,Dead-End
r_0370,Dead-End
r_0436,Dead-End
r_0437,Multiple
r_0438,Dilution
r_0439,Dilution
r_0440,Dead-End
r_0443,Dead-End
r_0454,Duplicate
r_0455,Multiple
r_0458,Dead-End
r_0459,Multiple
r_0470,Duplicate
r_0471,Duplicate
r_0478,Dead-End
r_0479,Dead-End
r_0482,Dead-End
r_0484,Dead-End
r_0490,Duplicate
r_0492,Duplicate
r_0500,Dead-End
r_0504,Dilution
r_0505,Dilution
r_0506,Dilution
r_0507,Dilution
r_0508,Dilution
r_0509,Dilution
r_0512,Dead-End
r_0518,Dead-End
r_0519,Dead-End
r_0520,Dead-End
r_0521,Dead-End
r_0522,Dead-End
r_0523,Dead-End
r_0530,Dead-End
r_0531,Dead-End
r_0533,Dead-End
r_0535,Dead-End
r_0539,Dead-End
r_0540,Dead-End
r_0543,Dead-End
r_0546,Duplicate
r_0547,Duplicate
r_0550,Multiple
